frame,time,active_links,max_possible_links,link_fraction,total_link_distance,mean_link_distance,normalized_distance_sum,link_score,receiver_count,covered_receivers,coverage_fraction,mean_nearest_receiver_distance,max_nearest_receiver_distance,receiver_penalty,worst_receiver_penalty,blended_receiver_penalty,base_score,score,running_score
0,0.0,53,435,0.12183908045977011,185241.48583088574,3495.1223741676554,37.04829716617715,0.08516849923259115,100,78,0.78,1732.2039945982217,inf,0.4902238231573226,1.0,0.7451119115786613,0.17002829382696494,0.39042507073456745,0.39042507073456745
1,111.73184357541899,53,435,0.12183908045977011,189363.67209722495,3572.899473532546,37.87273441944499,0.08706375728608043,100,81,0.81,1771.796945722289,inf,0.4770311052070108,1.0,0.7385155526035054,0.17427410234128748,0.4054356852558533,0.39793037799521036
2,223.46368715083798,54,435,0.12413793103448276,195108.5927786647,3613.1220884937907,39.02171855573294,0.0897051001281217,100,83,0.83,1786.7164616720233,inf,0.4665949326375559,1.0,0.7332974663187779,0.1782038169046719,0.41544550954226167,0.40376875517756083
3,335.19553072625695,52,435,0.11954022988505747,183422.15614871043,3527.34915670597,36.68443122974209,0.08433202581549905,100,83,0.83,1770.6347244872882,inf,0.4639253642648898,1.0,0.7319626821324449,0.17618467184152714,0.4154404616796038,0.40668668180307155
4,446.92737430167597,55,435,0.12643678160919541,195483.3534326912,3554.242789685294,39.09667068653824,0.0898774038770994,100,78,0.78,1741.015410133141,inf,0.4915984039807699,1.0,0.745799201990385,0.17203910094335717,0.39043009775235843,0.4034353649929289
5,558.659217877095,57,435,0.1310344827586207,200333.4380934353,3514.6217209374618,40.06668761868707,0.09210732785905074,100,77,0.77,1780.1491227880556,inf,0.5041429649093606,1.0,0.7520714824546804,0.1700179227021852,0.3854250448067555,0.4004336449619
6,670.391061452514,51,435,0.11724137931034483,169436.3541293895,3322.2814535174416,33.88727082587791,0.07790177201351245,100,79,0.79,1841.8612514155234,inf,0.5010140777236526,1.0,0.7505070388618262,0.1636973665758431,0.3954092434164396,0.39971587331254854
7,782.122905027933,53,435,0.12183908045977011,180466.0196822858,3405.0192392884114,36.09320393645716,0.08297288261254519,100,75,0.75,1771.1144477262585,inf,0.5156671671589388,1.0,0.7578335835794694,0.16256964951653785,0.3754064241237913,0.3966771921639539
8,893.854748603352,54,435,0.12413793103448276,186608.98806083092,3455.7220011264985,37.32179761216618,0.0857972358900372,100,78,0.78,1775.933615049725,inf,0.497045643947757,1.0,0.7485228219738785,0.16863720695807932,0.3904215930173952,0.39598212559211404
9,1005.5865921787711,54,435,0.12413793103448276,190893.8740838982,3535.0717422944113,38.178774816779644,0.08776729842937848,100,81,0.81,1781.595104183128,inf,0.4786184068776667,1.0,0.7393092034388333,0.17422904749527257,0.4054355726187382,0.39692747029477643
