frame,time,active_links,max_possible_links,link_fraction,total_link_distance,mean_link_distance,normalized_distance_sum,link_score,receiver_count,covered_receivers,coverage_fraction,mean_nearest_receiver_distance,max_nearest_receiver_distance,receiver_penalty,worst_receiver_penalty,blended_receiver_penalty,base_score,score,running_score
0,0.0,57,435,0.1310344827586207,196539.32412770807,3448.058318029966,39.307864825541614,0.09036290764492325,100,69,0.69,1674.887913482489,inf,0.5411345320605835,1.0,0.7705672660302918,0.15989782080731574,0.3453997445520183,0.3453997445520183
1,11.117287381878821,58,435,0.13333333333333333,201207.73480063197,3469.098875872965,40.2415469601264,0.09250930335661241,100,71,0.71,1714.0446046073143,inf,0.5333943338542387,1.0,0.7666971669271194,0.1629060682147465,0.35540726517053683,0.3504035048612776
2,22.234574763757642,59,435,0.135632183908046,205872.83753435072,3489.3701277008595,41.17456750687015,0.09465417817671298,100,71,0.71,1716.738679797327,inf,0.5337768925312204,1.0,0.7668884462656103,0.16388286595555135,0.35540970716488884,0.35207223896248135
3,33.35186214563646,59,435,0.135632183908046,205507.36985689172,3483.1757602863004,41.10147397137835,0.09448614706063987,100,69,0.69,1685.1659183695933,inf,0.5425528967350037,1.0,0.7712764483675019,0.16160484934656905,0.3454040121233664,0.3504051822527026
4,44.469149527515285,59,435,0.135632183908046,205163.3447822709,3477.344826818151,41.032668956454174,0.09432797461253833,100,68,0.68,1670.3964778942413,inf,0.5471739209936168,1.0,0.7735869604968084,0.16037050705786493,0.3404009262676447,0.348404331055691
5,55.58643690939411,59,435,0.135632183908046,204842.23600990733,3471.9023052526663,40.96844720198147,0.0941803383953597,100,68,0.68,1672.6007726789492,inf,0.5474737050843372,1.0,0.7737368525421686,0.16022174292659552,0.34040055435731653,0.3470703682726286
6,66.70372429127293,59,435,0.135632183908046,204546.10382143952,3466.883115617619,40.909220764287895,0.09404418566502964,100,67,0.67,1654.5068494405416,inf,0.5517039178250326,1.0,0.7758519589125163,0.15909611337625662,0.33539774028344066,0.3454028499884589
7,77.82101167315176,58,435,0.13333333333333333,199233.09699254157,3435.0533964231304,39.84661939850831,0.0916014239046168,100,68,0.68,1672.7971928404784,inf,0.5475004182263051,1.0,0.7737502091131525,0.15892560739573214,0.3403973140184893,0.3447771579922127
8,88.93829905503058,58,435,0.13333333333333333,198946.34672629653,3430.1094263154573,39.7892693452593,0.09146958470174552,100,68,0.68,1674.9470726806126,inf,0.5477928018845634,1.0,0.7738964009422817,0.15878659187973188,0.34039696647969936,0.3442904700463779
9,100.05558643690941,58,435,0.13333333333333333,198699.91832183365,3425.86066072127,39.73998366436673,0.09135628428590054,100,68,0.68,1679.4594748438992,inf,0.5484064885787703,1.0,0.7742032442893851,0.15857651999825773,0.3403964412999957,0.3439010671717397
10,111.17287381878823,58,435,0.13333333333333333,198501.17352519816,3422.43402629652,39.700234705039634,0.09126490736790721,100,68,0.68,1684.6933408535183,inf,0.5491182943560785,1.0,0.7745591471780393,0.15835288009493398,0.34039588220023737,0.3435824139925122
11,122.29016120066706,58,435,0.13333333333333333,198353.2616870149,3419.883822189912,39.67065233740297,0.0911969019250643,100,69,0.69,1702.2373784591964,inf,0.5449087582273691,1.0,0.7724543791136845,0.15937126140568986,0.3453984281535142,0.343733748505929
12,133.40744858254587,59,435,0.135632183908046,203247.974032238,3444.8809158006443,40.64959480644761,0.09344734438263819,100,70,0.7,1716.2129338160553,inf,0.5402698107342476,1.0,0.7701349053671238,0.16165621950775722,0.3504041405487694,0.3442468555861475
13,144.52473596442468,59,435,0.135632183908046,203137.35033526775,3443.005937885894,40.62747006705356,0.0933964829127668,100,70,0.7,1719.7147543998692,inf,0.5407600656159817,1.0,0.7703800328079908,0.16150822505238793,0.35040377056263095,0.34468663522732484
14,155.6420233463035,60,435,0.13793103448275862,208008.5588559528,3466.8093142658804,41.601711771190566,0.09563611901423119,100,70,0.7,1721.8800703963004,inf,0.5410632098554821,1.0,0.7705316049277411,0.16255225704324505,0.3504063806426081,0.34506795158834375
15,166.7593107281823,59,435,0.135632183908046,202875.2313138309,3438.5632426073034,40.57504626276618,0.09327596842015214,100,71,0.71,1737.0899221955272,inf,0.5366667689517649,1.0,0.7683333844758824,0.16247129197213483,0.3554061782299303,0.34571409075344295
16,177.8765981100611,61,435,0.14022988505747128,212632.1008655488,3485.7721453368654,42.52642017310975,0.0977618854554247,100,70,0.7,1719.4911670187391,inf,0.5407287633826234,1.0,0.7703643816913117,0.16369875188205651,0.3504092468797051,0.34599027640792895
17,188.99388549193992,61,435,0.14022988505747128,212383.89551069925,3481.7032050934304,42.47677910213984,0.09764776805089617,100,72,0.72,1751.6766257880372,inf,0.5322414341134774,1.0,0.7661207170567387,0.1657635254970788,0.3604144088137427,0.3467916170971408
